item,provided
Cambridge City tickets,"Cambridge City Football Club"
"£25 voucher, Dead Time, Saffron Walden","Dead Time, Saffron Walden"
"£50 voucher, The Green Man, Thriplow","The Green Man, Thriplow"
Admission to Shepreth Wildlife Park,Shepreth Wildlife Park
Table tennis coaching,Tom Lodziak
"£50 voucher, The Chequers, Fowlmere","The Chequers, Fowlmere"
Parkside Pool voucher,Parkside Pool
"£25 voucher, Chaters, Saffron Walden","Chaters, Saffron Walden"
Roost Coffee Fordham voucher,Roost Coffee House
1 month's unlimited PAYGO classes,Sawston Sports Centre
