names,age,team,position,awards,time
Leo and Rajen,Elite adults,Snakes & Ladders,1,Phill Hill Trophy,11:04
Thomas Sale and Alex Snow,Adults,Don't Feed the Animals,2,,11:13
Liam Camp and Scott Linsdell,Elite adults,Champagne Vauxhall Nova,3,,11:49
Cameron Douglas and Gunter Coates,Adults,The haymakers,4,,12:25
James and Maciej,Adults,Greece Lighting,5,,12:29
Cat Snow and Fenetta Snow,Adults,Keep on Mooo-ving,6,,13:57
Jack Pendlebury and Oliver Morris,Adults,Lancaster,7,,15:53
Eloise Park and Joe Thomas,Adults,Spitfire,8,,16:33
Dave Brown and Ian Brown,Adults,Tony's Traction Engine,9,Wooden Spoon & Constructors,19:40
