item,provided
£200 cash,the Duxford Soap Box Derby Committee
Lunch Voucher at Chestnut Pub group for £50,The Carpenters Arms Gt Wilbraham
Voucher for £50 at Chequers Fowlmere,The Chequers Fowlmere
Café 19 voucher for £50, Cafe 19 Duxford
Red Lion Hinxton £80 voucher, Red Lion Hinxton
Victor Victoria Coffee voucher £20, Victor Victoria Sawston
Searles Butcher Sawston voucher for £25
Family Swim at Parkside Swimming Pool
1 month membership Sawston Sports Centre
Family pass for Kingsway Golf
Family pass for Kingsway Golf
Family pass for Kingsway Golf
Family pass for Kingsway Golf
Perfume set
Bath Set
Bath bombs
Pink Prosecco
Prosecco
Pork Pate with Cognac
Pina Colada Sweets
Roses tub of sweets
Grater set
6 trinket pots
6 trinket pots
Crisps
Crisps
Crisps
Crisps
Crisps
Thatcher’s Cider Set
Thatcher’s Cider Set
Wylde Sky Beer Set
2 Tickets to Northampton Town Football Club
Family Ticket to a Cambridge United Game
Selection of Everard’s Beers
Selection of Everard’s Beers
Punting  for 3 people
Box of Booze
Kingsway Round of golf for 3
Jens mobile Hairdresser voucher
Bottle of port
M&S gift card
White wine
Quality Street
