names,age,team,position,awards,time
Nathan Littlefair and Scott Linsdell,Elite adults,Arthur rank,1,Phill Hill Trophy,07:36
Leo Batters and Rajen Rambojan,Elite adults,Snakes and Ladders,2,,08:14
Alex Snow and Tom Sale,Adults,Sith Happens,3,,09:18
Jon Sale and Catherine Snow,Adults,This cart comes from a land down under,4,,09:32
James Chappell and Maciej Lewandowski,Adults,Merceded,5,,10:25
Daan Somers and Tom Franks,Adults,The Animals,6,,10:30
Cameron Douglas and Harry Shipman,Adults,Cannon Crew,7,,11:38
Liam Camp and James Reed,Adults,Order of the Phoenix,8,,12:40
Stuart Holland and Jo Thomas,Adults,2461 Sawston Air Cadets 1,9,,13:02
James Tyndall and Oliver Hanson,Adults,461 Sawston Air Cadets 1,10,,13:59
Dave Brown and Ian Brown,Adults,Project X,11,Wooden spoon,14:21
